"","si.fsl.fcs","si.fsl.unsustainable_food","si.fsl.main_income","si.fsl.food_exp","si.fsl.individual_worked"
"1",0,0,0,0,0
"2",1,0,0,0,0
"3",2,0,0,0,0
"4",NA,0,0,0,0
"5",0,2,0,0,0
"6",1,2,0,0,0
"7",2,2,0,0,0
"8",NA,2,0,0,0
"9",0,0,2,0,0
"10",1,0,2,0,0
"11",2,0,2,0,0
"12",NA,0,2,0,0
"13",0,2,2,0,0
"14",1,2,2,0,0
"15",2,2,2,0,0
"16",NA,2,2,0,0
"17",0,0,1,0,0
"18",1,0,1,0,0
"19",2,0,1,0,0
"20",NA,0,1,0,0
"21",0,2,1,0,0
"22",1,2,1,0,0
"23",2,2,1,0,0
"24",NA,2,1,0,0
"25",0,0,NA,0,0
"26",1,0,NA,0,0
"27",2,0,NA,0,0
"28",NA,0,NA,0,0
"29",0,2,NA,0,0
"30",1,2,NA,0,0
"31",2,2,NA,0,0
"32",NA,2,NA,0,0
"33",0,0,0,1,0
"34",1,0,0,1,0
"35",2,0,0,1,0
"36",NA,0,0,1,0
"37",0,2,0,1,0
"38",1,2,0,1,0
"39",2,2,0,1,0
"40",NA,2,0,1,0
"41",0,0,2,1,0
"42",1,0,2,1,0
"43",2,0,2,1,0
"44",NA,0,2,1,0
"45",0,2,2,1,0
"46",1,2,2,1,0
"47",2,2,2,1,0
"48",NA,2,2,1,0
"49",0,0,1,1,0
"50",1,0,1,1,0
"51",2,0,1,1,0
"52",NA,0,1,1,0
"53",0,2,1,1,0
"54",1,2,1,1,0
"55",2,2,1,1,0
"56",NA,2,1,1,0
"57",0,0,NA,1,0
"58",1,0,NA,1,0
"59",2,0,NA,1,0
"60",NA,0,NA,1,0
"61",0,2,NA,1,0
"62",1,2,NA,1,0
"63",2,2,NA,1,0
"64",NA,2,NA,1,0
"65",0,0,0,2,0
"66",1,0,0,2,0
"67",2,0,0,2,0
"68",NA,0,0,2,0
"69",0,2,0,2,0
"70",1,2,0,2,0
"71",2,2,0,2,0
"72",NA,2,0,2,0
"73",0,0,2,2,0
"74",1,0,2,2,0
"75",2,0,2,2,0
"76",NA,0,2,2,0
"77",0,2,2,2,0
"78",1,2,2,2,0
"79",2,2,2,2,0
"80",NA,2,2,2,0
"81",0,0,1,2,0
"82",1,0,1,2,0
"83",2,0,1,2,0
"84",NA,0,1,2,0
"85",0,2,1,2,0
"86",1,2,1,2,0
"87",2,2,1,2,0
"88",NA,2,1,2,0
"89",0,0,NA,2,0
"90",1,0,NA,2,0
"91",2,0,NA,2,0
"92",NA,0,NA,2,0
"93",0,2,NA,2,0
"94",1,2,NA,2,0
"95",2,2,NA,2,0
"96",NA,2,NA,2,0
"97",0,0,0,NA,0
"98",1,0,0,NA,0
"99",2,0,0,NA,0
