"","si.wash.improved_water_access","si.wash.defecation","si.wash.enough_water","si.wash.soap","si.wash.visible_feces","si.wash.total_water_coll_time","JIAF.CLASSIFICATION"
"1",0,0,0,0,0,0,1
"2",1,0,0,0,0,0,1
"3",0,1,0,0,0,0,1
"4",1,1,0,0,0,0,1
"5",0,2,0,0,0,0,2
"6",1,2,0,0,0,0,2
"7",0,0,2,0,0,0,2
"8",1,0,2,0,0,0,2
"9",0,1,2,0,0,0,2
"10",1,1,2,0,0,0,2
"11",0,2,2,0,0,0,3
"12",1,2,2,0,0,0,3
"13",0,0,0,2,0,0,1
"14",1,0,0,2,0,0,1
"15",0,1,0,2,0,0,1
"16",1,1,0,2,0,0,1
"17",0,2,0,2,0,0,2
"18",1,2,0,2,0,0,3
"19",0,0,2,2,0,0,2
"20",1,0,2,2,0,0,2
"21",0,1,2,2,0,0,2
"22",1,1,2,2,0,0,2
"23",0,2,2,2,0,0,3
"24",1,2,2,2,0,0,3
"25",0,0,0,0,2,0,1
"26",1,0,0,0,2,0,1
"27",0,1,0,0,2,0,1
"28",1,1,0,0,2,0,1
"29",0,2,0,0,2,0,2
"30",1,2,0,0,2,0,2
"31",0,0,2,0,2,0,2
"32",1,0,2,0,2,0,2
"33",0,1,2,0,2,0,3
"34",1,1,2,0,2,0,3
"35",0,2,2,0,2,0,3
"36",1,2,2,0,2,0,4
"37",0,0,0,2,2,0,1
"38",1,0,0,2,2,0,2
"39",0,1,0,2,2,0,2
"40",1,1,0,2,2,0,2
"41",0,2,0,2,2,0,3
"42",1,2,0,2,2,0,3
"43",0,0,2,2,2,0,2
"44",1,0,2,2,2,0,3
"45",0,1,2,2,2,0,3
"46",1,1,2,2,2,0,3
"47",0,2,2,2,2,0,3
"48",1,2,2,2,2,0,3
"49",0,0,0,0,0,2,1
"50",1,0,0,0,0,2,2
"51",0,1,0,0,0,2,1
"52",1,1,0,0,0,2,2
"53",0,2,0,0,0,2,3
"54",1,2,0,0,0,2,3
"55",0,0,2,0,0,2,2
"56",1,0,2,0,0,2,3
"57",0,1,2,0,0,2,2
"58",1,1,2,0,0,2,3
"59",0,2,2,0,0,2,3
"60",1,2,2,0,0,2,4
"61",0,0,0,2,0,2,2
"62",1,0,0,2,0,2,2
"63",0,1,0,2,0,2,2
"64",1,1,0,2,0,2,2
"65",0,2,0,2,0,2,3
"66",1,2,0,2,0,2,3
"67",0,0,2,2,0,2,3
"68",1,0,2,2,0,2,3
"69",0,1,2,2,0,2,3
"70",1,1,2,2,0,2,3
"71",0,2,2,2,0,2,3
"72",1,2,2,2,0,2,3
"73",0,0,0,0,2,2,1
"74",1,0,0,0,2,2,2
"75",0,1,0,0,2,2,1
"76",1,1,0,0,2,2,2
"77",0,2,0,0,2,2,3
"78",1,2,0,0,2,2,3
"79",0,0,2,0,2,2,2
"80",1,0,2,0,2,2,3
"81",0,1,2,0,2,2,2
"82",1,1,2,0,2,2,3
"83",0,2,2,0,2,2,3
"84",1,2,2,0,2,2,3
"85",0,0,0,2,2,2,2
"86",1,0,0,2,2,2,3
"87",0,1,0,2,2,2,2
"88",1,1,0,2,2,2,2
"89",0,2,0,2,2,2,3
"90",1,2,0,2,2,2,3
"91",0,0,2,2,2,2,3
"92",1,0,2,2,2,2,3
"93",0,1,2,2,2,2,3
"94",1,1,2,2,2,2,3
"95",0,2,2,2,2,2,4
"96",1,2,2,2,2,2,4
